10909343	50	100	30/30	0	4	0
29835457	50	100	30/30	0	18	3
392913607	50	100	30/30	0	16	3
5325280633	50	100	30/30	0	266	55
42336478013	50	100	30/30	2	201	55
272903119607	50	100	30/30	2	1244	291
11683458677563	50	100	25/30	13	1954	732
51790308404911	50	100	14/30	21	1920	661
115137038087959	50	100	18/30	221	1988	1093
8335465900089539	50	100	1/30	1349	1349	1349
10380088039872631	50	100	1/30	1564	1564	1564
253422413591685001	50	100	0/30	2147483647	0	0
1160633764479964633	50	100	0/30	2147483647	0	0
31625125947164338313	50	100	0/30	2147483647	0	0
454367322351811534933	50	100	0/30	2147483647	0	0
4500000514520012390279	50	100	0/30	2147483647	0	0
