10909343	50	50	30/30	0	5	0
29835457	50	50	30/30	0	91	11
392913607	50	50	30/30	0	15	4
5325280633	50	50	25/30	0	1893	379
42336478013	50	50	30/30	0	370	111
272903119607	50	50	30/30	3	1061	199
11683458677563	50	50	24/30	58	1964	945
51790308404911	50	50	10/30	15	1954	697
115137038087959	50	50	10/30	246	1690	969
8335465900089539	50	50	1/30	1291	1291	1291
10380088039872631	50	50	0/30	2147483647	0	0
253422413591685001	50	50	1/30	642	642	642
1160633764479964633	50	50	0/30	2147483647	0	0
31625125947164338313	50	50	0/30	2147483647	0	0
454367322351811534933	50	50	0/30	2147483647	0	0
4500000514520012390279	50	50	0/30	2147483647	0	0
